Model,TP,TN,FP,FN
decision_tree,478,250,71,92
Random_Forest_Classifier,504,233,45,109
knn,286,135,263,207
Logistic_Regression,485,241,64,101
AdaBoost_Classifier,479,242,70,100
GradientBoosting_Classifier,497,234,52,108
svm,267,143,282,199
XGBoost_Classifier,490,234,59,108
